,categories_textform,short_name,price,sales_count
264,nan,Crush Grape Soda,18.28,
265,nan,Pecan Whole Cacao Granola,5.99,
266,nan,Coca-Cola Vanilla Soda Soft Drink,14.99,
267,nan,Lipton Iced Tea Mix Black Tea,10.83,
268,GROCERIES,Trident,3.49,11.0
269,nan,Sensodyne Complete Protection Sensitivity Toothpaste,7.29,
270,nan,Coca-Cola Vanilla Soda Soft Drink,14.99,
271,nan,Organic Vanilla Cashew Milk Yogurt,2.19,
272,nan,Sunkist Orange Soda Pop,46.43,
273,nan,Sunkist Orange Soda Pop,46.43,
274,nan,Mountain Dew Zero Sugar Citrus Soda Pop,4.98,
275,GRAINS,Classic Spicy Tomato Sauce,7.49,2.0
276,nan,Spray Cran- Grape Juice Drink,4.32,
277,nan,Imported Hass,1.67,
278,nan,Pure,14.71,
279,DAIRY,Pringles Potato Crisps Chips,1.74,33.0
280,nan,Cactus Cooler Orange Pineapple Soda Pop,20.78,
281,nan,Bull Energy Drink,8.87,
282,nan,Zz Bloody Mary Mix,4.48,
283,BEVERAGES,Herbal Essences Sulfate-Free Honey,8.49,54.0
284,HEALTH CARE,Tylenol Oral Suspension,7.69,36.0
285,nan,Excedrin Migraine Pain Relief Caplets,3.69,
286,nan,Glaceau Smartwater,14.86,
287,nan,Gerber,2.34,
288,GROCERIES,Maxwell,6.28,0.0
289,HOUSEHOLD,Cascade Complete Gel Dishwasher Detergent,11.49,16.0
290,FROZEN FOOD,Eggo Frozen,3.54,55.0
291,GROCERIES,Tea Tree Triple Treat Shampoo,7.19,11.0
292,nan,Bull Energy Drink,8.87,
293,nan,Diet,2.88,
294,MEAT & SEAFOOD,Style Beef Meatballs,6.99,1.0
295,SNACKS & CANDY,Pringles Potato Crisps Chips,1.74,466.0
296,nan,Propel Watermelon,1.0,
297,nan,Pure,14.71,
298,COOKIES,Kellogg,3.79,318.0
299,nan,Diet Mountain Dew Citrus Soda Pop,3.33,
300,nan,Cactus Cooler Orange Pineapple Soda Pop,20.78,
301,nan,Pepsi Cola Soda Pop,3.33,
302,nan,Organic Pluot,2.99,
303,nan,Style Patties,3.99,
304,nan,Sunkist Orange Soda Pop,1.0,
305,GROCERIES,Gillette Proglide Shield Men,25.99,247.0
306,BREAD & BAKERY,Organic Freeze-Dried Mangos,5.99,3.0
307,nan,Sensodyne Sensitive Teeth Rapid Relief Toothpaste,6.49,
308,nan,Polar Seltzer,2.94,
309,GROCERIES,Gillette Mach3,9.99,60.0
310,BABY ITEMS,Olay Lotion Moisturizer,11.99,118.0
311,BABY ITEMS,Olay,9.99,158.0
312,nan,Panko Bread Crumbs,2.49,
313,COOKIES,Dark Chocolate Sunflower Seed Butter Pouch,1.29,3.0
314,nan,Smoked Oysters,3.29,
315,nan,Sunkist Orange Soda,2.88,
316,nan,Pringles Potato Crisps Chips,1.74,
317,GROCERIES,Sunkist Orange Soda,3.98,0.0
318,GRAINS,Homemade Farfalle,2.49,8.0
319,DAIRY,Premium Select Extra,15.99,22.0
320,nan,Schweppes Caffeine-Free Ginger Ale,18.75,
321,nan,Trident Spearmint Rush Sugar Free Gum,5.49,
322,nan,Cream Soda,18.2,
